experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
DazzlingDengar,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DaringJyn,0,h,LegendaryIthor/2,13,32,nf4,256,128,6,3,Non,43.
DauntlessSarlacc,6,h,DazzlingDengar/5,13,32,nf4,256,128,6,3,68.,53.
DauntlessSarlacc,5,h,DazzlingDengar/5,13,32,nf4,256,128,6,3,68.,53.
DauntlessSarlacc,4,h,DazzlingDengar/5,13,32,nf4,256,128,6,3,68.,53.
DauntlessSarlacc,3,h,DazzlingDengar/5,13,32,nf4,256,128,6,3,68.,53.
DauntlessSarlacc,2,h,DazzlingDengar/5,13,32,nf4,256,128,6,3,68.,53.
DauntlessSarlacc,1,h,DazzlingDengar/5,13,32,nf4,256,128,6,3,68.,53.
DauntlessChirrut,11,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
DauntlessChirrut,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,38.
CharismaticAayla,10,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,9,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
